sra_id,sand,plant,hot spring,food,human skin,sludge,mine,human,coal mine,chemical vessel,clay,contaminated water,microbial mat,marine,human brain,marine coastal,human ear,gaseous environmental material,soil,saltern,hypersaline lake,fungus,solid environmental material,liquid environmental material,sediment,human blood,animal,human mouth,marine deep,human wound,human vagina,air,fresh water,oil,spring,built environment,mud,biofilm,marine benthic,rock,solid waste,waste water,marine surface,other water,mine drainage,human lungs,human urogenital,human gut,human nose,human bone,percent_unique_kmer,percent_16S,percent_phage,percent_Prokaryote,source
SRR2183673,0,5.922185142,4.164907943,0.780853532,0,1.14755126,0,9.996873911,0,0,0,0,0,0,0,0,0,0,7.081055297,0,0,0,0.731377671,6.093560904,19.0089227,0,10.96243488,0,0,0,2.44367318,0,2.190286562,0.100171,0,0,2.63305355,0.271136585,0,0,0,0.602799216,0,14.16200217,0,0.60659509,3.539104793,7.561454623,0,0,97.1817015,0.1,0.03,8.44,air
SRR2183692,0,0,5.473722787,0.608677655,0,2.731626299,0,7.940744278,0,0,0,0,0,0,0,0,0,0,4.809300466,0,0,0,5.705968345,0,8.471127268,0,30.07060337,0,0,0,0,0,0,0,0,0,0,1.203903988,1.309149394,0,0,1.689271826,0,27.54836832,0,0,0,2.437536007,0,0,93.7337482,0,0,0.84,air
SRR2183690,0,8.903245194,3.141767089,0.383792948,0,2.382663138,0,10.08813785,0.072001803,0.045559215,0,0,0.797954592,0.804353262,0,0,0,0,11.29408758,0.599010935,0,0,1.685739658,2.119605254,15.191638,1.527937231,11.36063649,0,0,0,1.332477471,0,1.405496831,0,0,0,0.747800124,0.203525345,0,0,0,1.150226435,0,14.02127044,0,0.078178116,1.772092915,7.636446477,1.254355605,0,99.1823501,0.07,0.01,7.73,air
SRR2183727,0,9.64323142,1.096486092,0.563147676,0,1.045126556,0,13.25275637,0,0.181740432,0,0,0,0,0,0,0,0,17.62424578,5.330736084,0,0,0,4.197414358,6.58779318,0,14.23621624,0,0,0,1.576540703,0,0.584445902,0.714909769,0,0,0.023823882,0,0,1.287037011,0,0,0,13.63790587,0,0,2.386935275,6.029507402,0,0,98.4082478,0.06,0.08,13.68,air
SRR2183736,0,9.652752069,4.654190714,0.620370202,0,2.634550262,0,9.187704042,0,0.079393744,0,0,0,0.066192288,0,0,0,0,3.912722041,0,0,0,1.646874365,3.93758311,16.26959698,1.343880931,13.17981569,0,0,0,1.694779367,0,2.692445507,0.277008902,0,0,0.341570672,0.796229314,0,0,0,1.240087025,0,12.00967194,0,0.11721989,2.911501814,10.73385912,0,0,98.8427006,0.06,0.03,5.74,air
SRR2183713,0,11.79804201,2.271274114,0,0,0.672081397,0,12.16280542,1.639220083,0.942999101,0,0,0,0.794781168,0,0,0,0,19.61671732,2.9260211,0,0,1.049098862,2.359056909,8.522029924,1.998577113,4.995039569,0,0,0,1.533624443,0,1.503086531,0,0,2.122839816,0.849504962,0,0,0,0,0.763133697,0,15.50330129,0,0,2.003797016,3.403780246,0.568197693,0,99.3201852,0.02,0.05,9.65,air
SRR2183677,0,6.683579405,4.865146206,0.928465207,0,0.783266234,0,10.84482917,0,0,0,0,0,0.232087919,0,0,0,0,7.549079453,0,0,0,1.593843024,4.620377217,16.09881424,0,13.60021584,0,0,0,2.16550821,0,2.49053672,0,0,0,1.411216465,0,0,0,0,0,0,13.9867531,0,1.313254536,2.536547066,6.794131468,1.502348514,0,98.1975096,0.13,0.07,12.83,air
SRR999213,0,1.977116029,1.247017572,0,0,0,0,16.88336698,0,0,0,0,0,0,0,0,0,0,0.266153694,0,0,0,0,0,0,0,9.822605694,46.21239171,0,0,0,0,0,4.299038054,0,0,0,0,0,0,0,0,0,10.62497458,0,0.772315095,0,7.895020589,0,0,50.6659364,0.01,1.79,8.78,air
SRR2183717,0,12.06591527,2.490087493,0,0,1.374107408,0,11.99466228,3.072199273,0.754986411,0,0,0,1.134401805,0,0,0,0.596970361,14.09507612,2.741721283,0,0,0.63430635,2.171106083,8.087690596,1.903768597,10.49465694,1.027949239,0,0,1.524519063,0,1.662252751,0,0,0,0.224741308,0.07794986,0,0.545236969,0,2.327910548,0,9.192144955,0,0,2.234182766,6.923122598,0.648333672,0,99.0495559,0.09,0.09,14.84,air
SRR5381739,0,0.453378207,1.494351981,0,0,0,0,3.366779841,0,0.645722456,0,0,0,0.872600815,0,0,0,0,2.477226194,3.412321,3.22066994,0,0,0,0.519168469,0,45.68306437,0,0,0,0,0,0,0,0,0.148426632,0,2.514430462,0,0,0,1.38619097,0,25.69125904,0,0,0,8.11440962,0,0,96.10101001,0.03,0,0.88,air
SRR2183729,0,6.682790663,0.900137376,2.156167415,0,1.493964048,0,1.769829969,1.115459615,1.016686422,0,0,0.596740212,0.693066142,0,0,0,0,23.21069294,1.111105384,0,0,0,0.70317482,6.349879879,5.003035541,14.15800947,0.773290072,0,0,0.290989133,0,4.476524768,0.172157294,0,0,0.607025183,0,0,0,0,7.843554303,0,14.56384294,0,0,0,4.311876408,0,0,99.7532764,0.02,0.1,4.38,air
SRR2183716,0,12.46870357,2.249378832,0,0,2.031894826,0,14.58300484,0,1.950811893,0,0,0,0.488705824,0,0,0,0,8.343027205,2.863982998,0,0,1.876476157,5.027567921,18.66397404,0.108929965,7.138480727,0,0,0,2.141028294,0,0.492748953,1.683389051,0,0,0,0,0,0,0,0.05180635,0,11.87214899,0,0.399461447,0.368687366,5.195790747,0,0,97.8849194,0.09,0.02,7.99,air
SRR2183700,0,7.305717031,3.500489334,1.787688572,0,0.550819795,0,7.817339606,2.013004698,0,0,0,0,2.448242059,0,0,0,1.121459744,17.71758816,1.193501641,0,0,1.082085942,2.49001942,9.960115464,0,9.880892313,0,0.969012692,0,1.606469868,0,2.815105827,0,0,3.139983009,1.066932546,0.414091682,0,0,0,2.44610578,0,10.37579419,0,0,1.985379225,5.408395453,0.903765946,0,96.6428298,0.06,0.03,15.23,air
SRR2183735,0,6.894558845,4.424023379,0.082607015,0,0.665106952,0,14.08156647,2.399715369,0.058039362,0,0,0,1.736159489,0,0,0,0.203421974,9.916939305,0.357876993,0,0,1.703535438,1.122041392,7.535938837,2.593624001,14.8382832,1.474941052,0.161322335,0,0,0,2.494023045,0.595908677,0,0.085437203,0.085589106,0,0,0,0,5.00681677,0,10.587884,0,0,5.606727423,5.283545459,0.004366905,0,99.471558,0.07,0.08,16.27,air
SRR999207,0,0,0,0,0,0,0,9.513256663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.90452642,22.92279897,15.56646875,0,0,0,0,0,9.179434518,0,0,0,0,0,0,0,0,0,15.23481789,0,0,0,11.6786968,0,0,15.051522,0.41,1.2,4.81,air
SRR014855,0,3.409187511,4.142014294,5.558315458,0,0.656840059,0,12.82515271,0,2.5205551,0,0,0,0,0,0,0,0,6.056870841,0,1.483410334,0,3.615139208,0,1.381172095,0,24.99314904,2.237116889,0.186413724,0,0,0,0,0,0,0,0,1.487225258,0.547996822,0,0,1.776639457,0,16.82262455,0,0,0,9.42446457,0.874997235,0,80.9416318,0.08,0.05,10.07,air
SRR2183706,0,0,6.081796544,1.106658244,0,1.85497064,0,10.16945849,0,0,0,0,0,3.108014636,0,0,0,0,0,1.738657132,0,0,0,0,18.40897224,0,35.44622626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.75538965,0,0,0,2.329856168,0,0,94.3984331,0.01,0.01,1.16,air
SRR014853,0,12.54211109,0.136569202,8.593158496,0,0.317480618,0,12.53720822,0,0,0,0,0,0,0.038915597,0,0,0,2.135510085,0,0,0,20.45850092,0,0.754376381,4.210764275,13.02831418,0.022827387,0,0.968190149,0,0,0.223036196,0.080959953,0,0,0.668660663,0,0,0,0,1.150797138,0,11.64352708,0,0,6.753591088,3.477169777,0.257407173,0,76.8579481,0.15,0.29,25.68,air
SRR2183732,0,8.210247504,6.270470661,0.036853034,0,1.885420472,0,10.13266745,0,0,0,0,0,2.089061676,0,0,0,0.452767438,9.299362826,0.704401946,0,0,1.33293029,1.132766834,13.83051203,3.547199258,11.09432576,0.63772815,0,0,1.532184261,0,2.945667406,0.624188992,0,0,0.073136082,0.185014872,0,0,0,2.709359494,0,10.53951329,0,0,2.311832283,8.421435259,0,0,99.3573572,0.11,0.04,7.62,air
SRR2183721,0,4.253920954,7.114313865,0,0,0.858506581,0,10.74208496,0,0,0,0,0,0,0,0,0,0,2.946455916,0,0,0,1.58383831,4.483032268,17.67919705,0.177040968,16.75247711,0,0,0,1.672658576,0,0.888824217,0.578033588,0,0,0.63888913,0.395390512,0,0,0,2.959152167,0,15.1093703,0,0,1.86324165,9.303571869,0,0,97.0230503,0.04,0.04,7.18,air
SRR2183719,0.093005464,5.90237387,5.68657125,0.890762243,0,0.942129381,0,11.36783334,0,0,0,0,0,1.565180503,0,0,0,0,7.408554783,0.201347387,0.036099844,0,2.071468258,3.448055309,16.00765222,0.474846674,13.66458286,0,0,0,2.40474404,0,1.684189855,0.123576481,0,0,0.172714874,0.08441236,0,0,0,0.530659391,0,13.03204653,0,0,2.915940922,8.990326586,0.300925564,0,98.7183121,0.04,0.1,10.41,air
SRR1000254,0,0,1.830204581,0,0,0,0,7.468189077,0,0,0,0,0,0,0,0,0,0,0,3.532251266,0,0,0,20.47339883,0,4.306334343,10.19197542,36.3877877,0,0,0,0,0,1.185566122,0,0,0,0,0,0,0,0.901258967,0,9.083190043,0,0,3.89175246,0.7480912,0,0,65.1468122,0,0.59,3.56,air
SRR1000269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9243372,0,2.71,11.47,air
